accession	accession_version	database	sra_accessions	strain	region	location	date	date_released	date_updated	length	host	is_lab_host	sample_type	biosample_accessions	full_authors	institution	submitter_country	country	division	authors
EF549616	EF549616.1	GenBank		ITA44			XXXX-XX-XX	2007-05-19	2016-07-23	81					Canducci,F.,Debiaggi,M.,Sampaolo,M.,Marinozzi,M.C.,Berre,S.,Terulla,C.,Gargantini,G.,Cambieri,P.,Romero,E.,Clementi,M.	University Vita-Salute San Raffaele, Lab di Microbiologia e Virologia	Italy			Canducci et al.
EF549617	EF549617.1	GenBank		ITA53			XXXX-XX-XX	2007-05-19	2016-07-23	81					Canducci,F.,Debiaggi,M.,Sampaolo,M.,Marinozzi,M.C.,Berre,S.,Terulla,C.,Gargantini,G.,Cambieri,P.,Romero,E.,Clementi,M.	University Vita-Salute San Raffaele, Lab di Microbiologia e Virologia	Italy			Canducci et al.
EF549618	EF549618.1	GenBank		ITA59			XXXX-XX-XX	2007-05-19	2016-07-23	81					Canducci,F.,Debiaggi,M.,Sampaolo,M.,Marinozzi,M.C.,Berre,S.,Terulla,C.,Gargantini,G.,Cambieri,P.,Romero,E.,Clementi,M.	University Vita-Salute San Raffaele, Lab di Microbiologia e Virologia	Italy			Canducci et al.
EF549619	EF549619.1	GenBank		ITA61			XXXX-XX-XX	2007-05-19	2016-07-23	81					Canducci,F.,Debiaggi,M.,Sampaolo,M.,Marinozzi,M.C.,Berre,S.,Terulla,C.,Gargantini,G.,Cambieri,P.,Romero,E.,Clementi,M.	University Vita-Salute San Raffaele, Lab di Microbiologia e Virologia	Italy			Canducci et al.
EF549620	EF549620.1	GenBank		ITA62			XXXX-XX-XX	2007-05-19	2016-07-23	81					Canducci,F.,Debiaggi,M.,Sampaolo,M.,Marinozzi,M.C.,Berre,S.,Terulla,C.,Gargantini,G.,Cambieri,P.,Romero,E.,Clementi,M.	University Vita-Salute San Raffaele, Lab di Microbiologia e Virologia	Italy			Canducci et al.
EF549621	EF549621.1	GenBank		ITA82			XXXX-XX-XX	2007-05-19	2016-07-23	81					Canducci,F.,Debiaggi,M.,Sampaolo,M.,Marinozzi,M.C.,Berre,S.,Terulla,C.,Gargantini,G.,Cambieri,P.,Romero,E.,Clementi,M.	University Vita-Salute San Raffaele, Lab di Microbiologia e Virologia	Italy			Canducci et al.
EU370702	EU370702.1	GenBank		EU370702	Asia		XXXX-XX-XX	2008-12-14	2016-07-26	130					Tan,B.H.,Lim,E.A.,Seah,S.G.,Loo,L.H.,Tee,N.W.,Lin,R.T.,Sugrue,R.J.,Seah,S.G.K.,Tee,N.W.S.,Lin,R.T.P.	DSO National Laboratories, Diagnostic and Detection Laboratory	Singapore	Singapore		Tan et al.
FJ647039	FJ647039.1	GenBank		10629	Europe		2004-02-XX	2010-01-31	2016-07-24	259	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647040	FJ647040.1	GenBank		10632	Europe		2004-02-XX	2010-01-31	2016-07-24	259	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647041	FJ647041.1	GenBank		10644	Europe		2004-02-XX	2010-01-31	2016-07-24	259	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647042	FJ647042.1	GenBank		25190	Europe		2004-12-XX	2010-01-31	2016-07-24	259	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647043	FJ647043.1	GenBank		36088	Europe		2005-01-XX	2010-01-31	2016-07-24	259	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647044	FJ647044.1	GenBank		36149	Europe		2005-02-XX	2010-01-31	2016-07-24	259	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647045	FJ647045.1	GenBank		36252	Europe		2005-02-XX	2010-01-31	2016-07-24	259	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647046	FJ647046.1	GenBank		36331	Europe		2005-03-XX	2010-01-31	2016-07-24	259	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647047	FJ647047.1	GenBank		36370	Europe		2005-03-XX	2010-01-31	2016-07-24	259	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647048	FJ647048.1	GenBank		36405	Europe		2005-03-XX	2010-01-31	2016-07-24	259	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647049	FJ647049.1	GenBank		36428	Europe		2005-03-XX	2010-01-31	2016-07-24	259	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647050	FJ647050.1	GenBank		36453	Europe		2005-04-XX	2010-01-31	2016-07-24	259	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647051	FJ647051.1	GenBank		37272	Europe		2006-03-XX	2010-01-31	2016-07-24	259	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647052	FJ647052.1	GenBank		41056	Europe		2007-01-XX	2010-01-31	2016-07-24	290	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647053	FJ647053.1	GenBank		41149	Europe		2007-01-XX	2010-01-31	2016-07-24	272	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647054	FJ647054.1	GenBank		41206	Europe		2007-01-XX	2010-01-31	2016-07-24	286	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647055	FJ647055.1	GenBank		41241	Europe		2007-01-XX	2010-01-31	2016-07-24	272	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647056	FJ647056.1	GenBank		41334	Europe		2007-02-XX	2010-01-31	2016-07-24	301	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647057	FJ647057.1	GenBank		41368	Europe		2007-02-XX	2010-01-31	2016-07-24	270	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647058	FJ647058.1	GenBank		41491	Europe		2007-02-XX	2010-01-31	2016-07-24	276	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647059	FJ647059.1	GenBank		41553	Europe		2007-02-XX	2010-01-31	2016-07-24	287	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647060	FJ647060.1	GenBank		41598	Europe		2007-02-XX	2010-01-31	2016-07-24	256	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647061	FJ647061.1	GenBank		41600	Europe		2007-02-XX	2010-01-31	2016-07-24	271	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647062	FJ647062.1	GenBank		41610	Europe		2007-02-XX	2010-01-31	2016-07-24	287	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647063	FJ647063.1	GenBank		41638	Europe		2007-02-XX	2010-01-31	2016-07-24	271	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647064	FJ647064.1	GenBank		41651	Europe		2007-03-XX	2010-01-31	2016-07-24	276	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647065	FJ647065.1	GenBank		41687	Europe		2007-03-XX	2010-01-31	2016-07-24	270	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647066	FJ647066.1	GenBank		41698	Europe		2007-03-XX	2010-01-31	2016-07-24	286	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647067	FJ647067.1	GenBank		41769	Europe		2007-03-XX	2010-01-31	2016-07-24	287	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647068	FJ647068.1	GenBank		41802	Europe		2007-03-XX	2010-01-31	2016-07-24	290	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647069	FJ647069.1	GenBank		95406	Europe		2007-01-XX	2010-01-31	2016-07-24	275	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647070	FJ647070.1	GenBank		110077	Europe		2007-01-XX	2010-01-31	2016-07-24	290	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647071	FJ647071.1	GenBank		110084	Europe		2007-01-XX	2010-01-31	2016-07-24	272	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647072	FJ647072.1	GenBank		110086	Europe		2007-01-XX	2010-01-31	2016-07-24	277	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647073	FJ647073.1	GenBank		110088	Europe		2007-01-XX	2010-01-31	2016-07-24	286	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647074	FJ647074.1	GenBank		110093	Europe		2007-01-XX	2010-01-31	2016-07-24	276	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647075	FJ647075.1	GenBank		110094	Europe		2007-01-XX	2010-01-31	2016-07-24	290	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
FJ647076	FJ647076.1	GenBank		110103	Europe		2007-02-XX	2010-01-31	2016-07-24	277	Homo sapiens				Koetz,A.,Koetz,K.,Berg,S.,Ripa,T.	County Hospital, Clinical Microbiology	Sweden	Sweden		Koetz et al.
GN352065	GN352065.1	GenBank		GN352065			XXXX-XX-XX	2009-05-12	2009-05-12	60					Baptista,C.S.,Wu,X.,Munroe,D.J.					Baptista et al.
GN352066	GN352066.1	GenBank		GN352066			XXXX-XX-XX	2009-05-12	2009-05-12	60					Baptista,C.S.,Wu,X.,Munroe,D.J.					Baptista et al.
GN352067	GN352067.1	GenBank		GN352067			XXXX-XX-XX	2009-05-12	2009-05-12	60					Baptista,C.S.,Wu,X.,Munroe,D.J.					Baptista et al.
GN352068	GN352068.1	GenBank		GN352068			XXXX-XX-XX	2009-05-12	2009-05-12	60					Baptista,C.S.,Wu,X.,Munroe,D.J.					Baptista et al.
GN352069	GN352069.1	GenBank		GN352069			XXXX-XX-XX	2009-05-12	2009-05-12	60					Baptista,C.S.,Wu,X.,Munroe,D.J.					Baptista et al.
GN352070	GN352070.1	GenBank		GN352070			XXXX-XX-XX	2009-05-12	2009-05-12	60					Baptista,C.S.,Wu,X.,Munroe,D.J.					Baptista et al.
GN352071	GN352071.1	GenBank		GN352071			XXXX-XX-XX	2009-05-12	2009-05-12	60					Baptista,C.S.,Wu,X.,Munroe,D.J.					Baptista et al.
GN352072	GN352072.1	GenBank		GN352072			XXXX-XX-XX	2009-05-12	2009-05-12	60					Baptista,C.S.,Wu,X.,Munroe,D.J.					Baptista et al.
GN352073	GN352073.1	GenBank		GN352073			XXXX-XX-XX	2009-05-12	2009-05-12	60					Baptista,C.S.,Wu,X.,Munroe,D.J.					Baptista et al.
GN352074	GN352074.1	GenBank		GN352074			XXXX-XX-XX	2009-05-12	2009-05-12	60					Baptista,C.S.,Wu,X.,Munroe,D.J.					Baptista et al.
HC734564	HC734564.1	GenBank		HC734564			XXXX-XX-XX	2010-05-16	2010-05-16	250					Brownlie,J.R.,Erles,K.V.,Chalker,V.J.					Brownlie et al.
HC734573	HC734573.1	GenBank		HC734573			XXXX-XX-XX	2010-05-16	2010-05-16	4060					Brownlie,J.R.,Erles,K.V.,Chalker,V.J.					Brownlie et al.
HC734582	HC734582.1	GenBank		HC734582			XXXX-XX-XX	2010-05-16	2010-05-16	497					Brownlie,J.R.,Erles,K.V.,Chalker,V.J.					Brownlie et al.
HH977461	HH977461.1	GenBank		HH977461			XXXX-XX-XX	2010-10-31	2010-10-31	24					Stein,D.A.,Bestwick,R.K.,Iversen,P.L.,Neuman,B.,Buchmeier,M.					Stein et al.
HM130758	HM130758.1	GenBank		HM130758	Asia		2005-06-09	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130759	HM130759.1	GenBank		HM130759	Asia		2005-08-23	2010-10-13	2016-07-25	377	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130760	HM130760.1	GenBank		HM130760	Asia		2005-09-10	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130761	HM130761.1	GenBank		HM130761	Asia		2005-09-14	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130762	HM130762.1	GenBank		HM130762	Asia		2005-09-23	2010-10-13	2016-07-25	376	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130763	HM130763.1	GenBank		HM130763	Asia		2005-10-17	2010-10-13	2016-07-25	377	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130764	HM130764.1	GenBank		HM130764	Asia		2006-03-03	2010-10-13	2016-07-25	375	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130765	HM130765.1	GenBank		HM130765	Asia		2006-03-24	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130766	HM130766.1	GenBank		HM130766	Asia		2006-09-30	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130767	HM130767.1	GenBank		HM130767	Asia		2006-10-05	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130768	HM130768.1	GenBank		HM130768	Asia		2006-10-07	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130769	HM130769.1	GenBank		HM130769	Asia		2007-03-01	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130770	HM130770.1	GenBank		HM130770	Asia		2007-03-23	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130771	HM130771.1	GenBank		HM130771	Asia		2007-05-09	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130772	HM130772.1	GenBank		HM130772	Asia		2007-05-26	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130773	HM130773.1	GenBank		HM130773	Asia		2007-05-29	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130774	HM130774.1	GenBank		HM130774	Asia		2007-06-09	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130775	HM130775.1	GenBank		HM130775	Asia		2007-06-09	2010-10-13	2016-07-25	376	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130776	HM130776.1	GenBank		HM130776	Asia		2007-06-10	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130777	HM130777.1	GenBank		HM130777	Asia		2007-06-12	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130778	HM130778.1	GenBank		HM130778	Asia		2007-06-12	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130779	HM130779.1	GenBank		HM130779	Asia		2007-06-13	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130780	HM130780.1	GenBank		HM130780	Asia		2007-06-14	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130781	HM130781.1	GenBank		HM130781	Asia		2007-06-15	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130782	HM130782.1	GenBank		HM130782	Asia		2007-06-15	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
HM130783	HM130783.1	GenBank		HM130783	Asia		2007-06-17	2010-10-13	2016-07-25	378	Homo sapiens				Ren,L.,Gonzalez,R.,Xu,J.,Xiao,Y.,Li,Y.,Zhou,H.,Li,J.,Yang,Q.,Zhang,J.,Chen,L.,Wang,W.,Vernet,G.,Paranhos-Baccala,G.,Wang,Z.,Wang,J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences, Dr. Christophe Morieux Laboratory, IPB, CAMS-Fondation Morieux		China		Ren et al.
